W/T,imageID,C,style,sex,surveyID,train/vali,R_id
W,03412,50,classic,W,023425,vali,
W,17304,70,hippie,M,145581,vali,64252.0
W,15404,50,ivy,M,089871,vali,
W,05667,10,athleisure,W,132893,vali,63682.0
W,09763,80,bold,M,229245,vali,67751.0
W,17414,70,hippie,M,059089,vali,
W,06090,10,athleisure,W,083454,vali,
W,15740,70,hippie,M,233950,vali,68010.0
W,02736,60,mods,M,144791,vali,64223.0
W,06522,50,ivy,M,096747,vali,
W,02651,50,feminine,W,000008,vali,
W,38588,19,genderless,W,161809,vali,64826.0
W,12106,80,bold,M,139158,vali,63966.0
W,24493,70,hippie,M,156476,vali,64687.0
W,12880,19,normcore,M,112359,vali,62653.0
W,08139,10,athleisure,W,120246,vali,63355.0
W,01000,10,sportivecasual,W,014797,vali,
W,17062,19,normcore,M,047844,vali,
W,16172,70,hippie,M,147622,vali,64336.0
W,02962,10,sportivecasual,M,063761,vali,
T,06590,10,sportivecasual,M,128614,vali,63547.0
W,05580,10,sportivecasual,W,119677,vali,63316.0
W,08285,19,normcore,W,123517,vali,63435.0
W,16501,70,hippie,M,210390,vali,66941.0
W,13010,50,classic,W,111135,vali,62534.0
W,17304,70,hippie,M,149555,vali,64447.0
W,04207,50,ivy,M,100535,vali,61337.0
W,14272,80,bodyconscious,W,013473,vali,
W,16732,70,hippie,M,137516,vali,63904.0
W,07871,00,cityglam,W,125456,vali,63479.0
W,06547,00,metrosexual,M,141498,vali,64068.0
W,13688,90,hiphop,W,004519,vali,
W,27184,90,hiphop,M,140922,vali,64049.0
W,12102,80,bold,M,118875,vali,63251.0
W,08139,10,athleisure,W,129434,vali,63569.0
W,16067,80,bold,M,154479,vali,64615.0
W,28373,80,powersuit,W,089157,vali,
W,41444,60,space,W,094530,vali,
W,14787,60,minimal,W,132403,vali,63644.0
W,08715,90,kitsch,W,003869,vali,
W,02677,60,mods,M,122208,vali,63405.0
W,15658,00,metrosexual,M,076162,vali,
W,01387,50,feminine,W,045394,vali,
W,32800,60,mods,M,205185,vali,66765.0
W,18546,50,classic,W,011842,vali,
W,31913,90,hiphop,M,174247,vali,65139.0
W,16624,90,hiphop,M,091838,vali,
W,15402,70,hippie,M,137849,vali,63918.0
W,25194,00,metrosexual,M,147758,vali,64339.0
W,04268,70,hippie,M,069376,vali,
