W/T,imageID,C,style,sex,surveyID,train/vali,R_id,Q5
W,03412,50,classic,W,023425,vali,18670,1
W,17304,70,hippie,M,145581,vali,64252,1
W,15404,50,ivy,M,089871,vali,59901,1
W,05667,10,athleisure,W,132893,vali,63682,1
W,09763,80,bold,M,229245,vali,67751,2
W,17414,70,hippie,M,059089,vali,33915,1
W,06090,10,athleisure,W,083454,vali,58895,2
W,15740,70,hippie,M,233950,vali,68010,1
W,02736,60,mods,M,144791,vali,64223,1
W,06522,50,ivy,M,096747,vali,60804,2
W,02651,50,feminine,W,000008,vali,12,1
W,38588,19,genderless,W,161809,vali,64826,2
W,12106,80,bold,M,139158,vali,63966,1
W,24493,70,hippie,M,156476,vali,64687,1
W,12880,19,normcore,M,112359,vali,62653,2
W,08139,10,athleisure,W,120246,vali,63355,2
W,01000,10,sportivecasual,W,014797,vali,10771,2
W,17062,19,normcore,M,047844,vali,28700,1
W,16172,70,hippie,M,147622,vali,64336,1
W,02962,10,sportivecasual,M,063761,vali,42599,2
T,06590,10,sportivecasual,M,128614,vali,63547,1
W,05580,10,sportivecasual,W,119677,vali,63316,2
W,08285,19,normcore,W,123517,vali,63435,2
W,16501,70,hippie,M,210390,vali,66941,1
W,13010,50,classic,W,111135,vali,62534,2
W,17304,70,hippie,M,149555,vali,64447,2
W,04207,50,ivy,M,100535,vali,61337,2
W,14272,80,bodyconscious,W,013473,vali,9096,1
W,16732,70,hippie,M,137516,vali,63904,1
W,07871,00,cityglam,W,125456,vali,63479,2
W,06547,00,metrosexual,M,141498,vali,64068,2
W,13688,90,hiphop,W,004519,vali,2008,1
W,27184,90,hiphop,M,140922,vali,64049,1
W,12102,80,bold,M,118875,vali,63251,1
W,08139,10,athleisure,W,129434,vali,63569,1
W,16067,80,bold,M,154479,vali,64615,2
W,28373,80,powersuit,W,089157,vali,59843,1
W,41444,60,space,W,094530,vali,60509,1
W,14787,60,minimal,W,132403,vali,63644,2
W,08715,90,kitsch,W,003869,vali,1978,1
W,02677,60,mods,M,122208,vali,63405,2
W,15658,00,metrosexual,M,076162,vali,54939,1
W,01387,50,feminine,W,045394,vali,28311,2
W,32800,60,mods,M,205185,vali,66765,1
W,18546,50,classic,W,011842,vali,7093,1
W,31913,90,hiphop,M,174247,vali,65139,1
W,16624,90,hiphop,M,091838,vali,60056,2
W,15402,70,hippie,M,137849,vali,63918,1
W,25194,00,metrosexual,M,147758,vali,64339,1
W,04268,70,hippie,M,069376,vali,50357,1
W,14888,19,normcore,W,117918,vali,63156,1
W,14787,60,minimal,W,133269,vali,63703,1
W,19003,50,feminine,W,012459,vali,7658,1
W,28480,60,minimal,W,115406,vali,62952,1
W,19940,00,oriental,W,125097,vali,63471,1
W,09737,10,sportivecasual,W,131812,vali,63628,2
